userid,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,PAGE_JUMP,JUMPC,OPEN,CLOSE,pc,mobile,tablet,ADD BOOKMARK,MEMOC,MARKERC
ds102,0.0,2,5,0.4,3,0.0,0.0,0.0,0.0,1,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ds103,0.0,147,296,0.4966216216216216,3214,0.0,0.0,1.0,1.0,5,1.0,409.0,45.0,0.0,1.0,0.0,2.0
ds104,0.0,29,48,0.6041666666666666,1619,0.0,0.0,2.0,2.0,4,0.0,89.0,0.0,0.0,1.0,2.0,2.0
ds106,9.0,74,179,0.4134078212290503,1743,0.0,1.0,2.0,3.0,2,0.0,267.0,0.0,0.0,0.0,0.0,0.0
ds109,0.0,66,278,0.23741007194244604,3014,1.0,0.0,4.0,4.0,10,3.0,362.0,0.0,0.0,0.0,0.0,0.0
ds112,0.0,135,230,0.5869565217391305,1484,0.0,0.0,0.0,0.0,5,2.0,377.0,0.0,0.0,0.0,3.0,2.0
ds115,0.0,2,11,0.18181818181818185,55,0.0,0.0,1.0,1.0,1,0.0,15.0,0.0,0.0,0.0,0.0,0.0
ds118,0.0,41,163,0.25153374233128833,2163,0.0,0.0,0.0,0.0,3,0.0,0.0,207.0,0.0,0.0,0.0,0.0
ds121,0.0,159,348,0.456896551724138,3746,0.0,0.0,15.0,15.0,4,0.0,0.0,0.0,526.0,0.0,0.0,0.0
ds122,0.0,49,66,0.7424242424242424,228,0.0,0.0,0.0,0.0,1,0.0,0.0,116.0,0.0,0.0,0.0,0.0
ds123,9.0,28,97,0.28865979381443296,1986,0.0,2.0,5.0,7.0,6,2.0,160.0,0.0,0.0,1.0,7.0,2.0
ds124,0.0,332,368,0.9021739130434784,4094,0.0,0.0,5.0,5.0,5,0.0,710.0,0.0,0.0,0.0,0.0,0.0
ds125,1.0,313,373,0.8391420911528149,1279,0.0,0.0,4.0,4.0,5,1.0,547.0,150.0,0.0,0.0,0.0,0.0
ds126,0.0,8,137,0.0583941605839416,1610,0.0,0.0,0.0,0.0,4,2.0,0.0,0.0,151.0,0.0,0.0,0.0
ds127,0.0,44,270,0.16296296296296298,3035,0.0,0.0,10.0,10.0,4,2.0,341.0,0.0,0.0,2.0,4.0,3.0
ds128,0.0,11,44,0.25,31,0.0,0.0,0.0,0.0,2,0.0,57.0,0.0,0.0,0.0,0.0,0.0
ds129,17.0,152,245,0.6204081632653061,1221,0.0,0.0,7.0,7.0,2,0.0,423.0,0.0,0.0,0.0,0.0,0.0
ds131,10.0,101,213,0.4741784037558686,1106,0.0,0.0,1.0,1.0,2,0.0,327.0,0.0,0.0,0.0,0.0,0.0
ds132,0.0,11,63,0.1746031746031746,91,0.0,0.0,0.0,0.0,2,1.0,77.0,0.0,0.0,0.0,0.0,0.0
ds133,4.0,40,96,0.4166666666666667,829,0.0,1.0,0.0,1.0,2,0.0,143.0,0.0,0.0,0.0,0.0,0.0
ds135,0.0,12,86,0.13953488372093026,950,0.0,0.0,0.0,0.0,3,0.0,0.0,101.0,0.0,0.0,0.0,0.0
ds137,0.0,2,11,0.18181818181818185,26,0.0,0.0,0.0,0.0,1,0.0,0.0,14.0,0.0,0.0,0.0,0.0
ds142,0.0,141,280,0.5035714285714286,3163,0.0,0.0,0.0,0.0,4,1.0,430.0,0.0,0.0,2.0,0.0,0.0
ds145,12.0,3,79,0.0379746835443038,4097,0.0,1.0,2.0,3.0,5,1.0,103.0,0.0,0.0,0.0,0.0,0.0
ds146,0.0,60,154,0.3896103896103896,1110,0.0,0.0,0.0,0.0,2,0.0,216.0,0.0,0.0,0.0,0.0,0.0
ds147,1.0,156,281,0.5551601423487544,559,0.0,0.0,11.0,11.0,3,2.0,454.0,0.0,0.0,0.0,0.0,0.0
ds148,0.0,9,75,0.12,382,0.0,0.0,1.0,1.0,2,0.0,87.0,0.0,0.0,0.0,0.0,0.0
ds150,0.0,25,82,0.3048780487804878,286,0.0,0.0,0.0,0.0,2,0.0,46.0,63.0,0.0,0.0,0.0,0.0
ds151,0.0,9,82,0.1097560975609756,113,0.0,0.0,0.0,0.0,1,0.0,92.0,0.0,0.0,0.0,0.0,0.0
ds152,1.0,6,187,0.032085561497326213,1486,0.0,0.0,9.0,9.0,4,1.0,208.0,0.0,0.0,0.0,0.0,0.0
ds153,7.0,144,266,0.5413533834586466,3979,0.0,0.0,0.0,0.0,4,0.0,426.0,0.0,0.0,0.0,2.0,3.0
