userid,bookmarkc,closec,markerc,memoc,mobilec,openc,pcc,tabletc,watchc,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,JUMPC,Page_JumpC,Add_BookmarkC,Delete_BookmarkC,Add_MemoC,Delete_MemoC,Change_MemoC,Add_MarkerC,Delete_MarkerC,Readpages
ds101,0,3,0,0,0,27,1240,66,1306,0,141,1070,0.131775701,14878,0,0,65,65,0,0,0,0,0,0,0,1211
ds102,0,0,0,0,0,1,8,0,8,0,2,5,0.4,3,0,0,0,0,0,0,0,0,0,0,0,7
ds103,2,1,2,0,45,5,409,0,454,0,147,296,0.496621622,3214,0,0,1,1,1,1,0,0,0,2,0,443
ds104,2,0,2,2,0,4,89,0,89,0,29,48,0.604166667,1619,0,0,2,2,1,1,1,0,0,1,1,77
ds105,0,3,0,0,0,5,540,0,540,0,71,459,0.154684096,4257,0,0,2,2,0,0,0,0,0,0,0,530
ds106,0,0,0,0,0,2,267,0,267,9,74,179,0.413407821,1743,0,1,3,2,0,0,0,0,0,0,0,253
ds107,0,3,0,0,379,6,239,0,618,0,110,499,0.220440882,5314,0,0,0,0,0,0,0,0,0,0,0,609
ds108,0,0,0,0,0,8,0,1950,1950,0,756,1186,0.637436762,10032,0,0,0,0,0,0,0,0,0,0,0,1942
ds109,0,3,0,0,0,10,362,0,362,0,66,278,0.237410072,3014,1,0,4,4,0,0,0,0,0,0,0,344
ds110,0,6,0,0,0,10,863,0,863,0,79,766,0.103133159,7918,0,0,2,2,0,0,0,0,0,0,0,845
ds111,0,5,1,0,0,12,1334,0,1334,2,316,990,0.319191919,13075,0,2,8,6,0,0,0,0,0,1,0,1306
ds112,0,2,2,3,0,5,377,0,377,0,135,230,0.586956522,1484,0,0,0,0,0,0,1,0,1,1,1,365
ds113,2,11,2,0,25,16,1712,0,1737,0,418,1271,0.328874902,11231,2,0,15,15,1,1,0,0,0,2,0,1689
ds114,0,3,0,0,228,13,624,0,852,0,146,682,0.214076246,6455,0,0,8,8,0,0,0,0,0,0,0,828
ds115,0,0,0,0,0,1,15,0,15,0,2,11,0.181818182,55,0,0,1,1,0,0,0,0,0,0,0,13
ds116,0,9,0,0,17,14,1210,441,1668,2,373,1263,0.295328583,10665,0,1,7,6,0,0,0,0,0,0,0,1636
ds117,0,3,0,0,2,9,582,0,584,0,72,499,0.144288577,5138,0,0,1,1,0,0,0,0,0,0,0,571
ds118,0,0,0,0,207,3,0,0,207,0,41,163,0.251533742,2163,0,0,0,0,0,0,0,0,0,0,0,204
ds119,0,0,0,0,9,2,0,0,9,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,7
ds120,0,5,0,0,0,9,900,0,900,0,210,663,0.316742081,7668,4,0,9,9,0,0,0,0,0,0,0,873
ds121,0,0,0,0,0,4,0,526,526,0,159,348,0.456896552,3746,0,0,15,15,0,0,0,0,0,0,0,507
ds122,0,0,0,0,116,1,0,0,116,0,49,66,0.742424242,228,0,0,0,0,0,0,0,0,0,0,0,115
ds123,2,2,2,7,0,6,160,0,160,9,28,97,0.288659794,1986,0,2,7,5,1,1,5,0,1,2,0,125
ds124,0,0,0,0,0,5,710,0,710,0,332,368,0.902173913,4094,0,0,5,5,0,0,0,0,0,0,0,700
ds125,0,1,0,0,150,5,547,0,697,1,313,373,0.839142091,1279,0,0,4,4,0,0,0,0,0,0,0,686
ds126,0,2,0,0,0,4,0,151,151,0,8,137,0.058394161,1610,0,0,0,0,0,0,0,0,0,0,0,145
ds127,4,2,3,4,0,4,341,0,341,0,44,270,0.162962963,3035,0,0,10,10,2,2,3,0,0,2,1,314
ds128,0,0,0,0,0,2,57,0,57,0,11,44,0.25,31,0,0,0,0,0,0,0,0,0,0,0,55
ds129,0,0,0,0,0,2,423,0,423,17,152,245,0.620408163,1221,0,0,7,7,0,0,0,0,0,0,0,397
ds130,0,3,0,0,0,17,1690,0,1690,0,289,1381,0.209268646,8641,0,0,0,0,0,0,0,0,0,0,0,1670
ds131,0,0,0,0,0,2,327,0,327,10,101,213,0.474178404,1106,0,0,1,1,0,0,0,0,0,0,0,314
ds132,0,1,0,0,0,2,77,0,77,0,11,63,0.174603175,91,0,0,0,0,0,0,0,0,0,0,0,74
ds133,0,0,0,0,0,3,192,0,192,4,41,143,0.286713287,1077,0,1,1,0,0,0,0,0,0,0,0,184
ds134,0,6,0,3,3,12,845,0,848,0,244,582,0.419243986,19201,0,0,1,1,0,0,1,0,2,0,0,826
ds135,0,0,0,0,101,3,0,0,101,0,12,86,0.139534884,950,0,0,0,0,0,0,0,0,0,0,0,98
ds136,0,3,0,0,0,5,268,0,268,0,34,224,0.151785714,1217,0,0,2,2,0,0,0,0,0,0,0,258
